;Side;Type;Metric;Value
141;head;pessimistic;standard_deviation;9070.3253129267
142;tail;pessimistic;standard_deviation;7170.266771591067
143;both;pessimistic;standard_deviation;8176.21327642406
144;head;optimistic;inverse_arithmetic_mean_rank;0.00031915730986691
145;tail;optimistic;inverse_arithmetic_mean_rank;0.00033936238794913414
146;both;optimistic;inverse_arithmetic_mean_rank;0.00032894987702588804
147;head;realistic;inverse_arithmetic_mean_rank;0.00031915720319375396
148;tail;realistic;inverse_arithmetic_mean_rank;0.00033936224645003676
149;both;realistic;inverse_arithmetic_mean_rank;0.0003289497981313616
150;head;pessimistic;inverse_arithmetic_mean_rank;0.0003191569895920232
151;tail;pessimistic;inverse_arithmetic_mean_rank;0.0003393620456403447
152;both;pessimistic;inverse_arithmetic_mean_rank;0.00032894954609822186
153;head;optimistic;inverse_geometric_mean_rank;0.00184387482383447
154;tail;optimistic;inverse_geometric_mean_rank;0.0012368392061870214
155;both;optimistic;inverse_geometric_mean_rank;0.0015101578306321646
156;head;realistic;inverse_geometric_mean_rank;0.0018438749248161912
157;tail;realistic;inverse_geometric_mean_rank;0.0012368386378511786
158;both;realistic;inverse_geometric_mean_rank;0.0015101577155292034
159;head;pessimistic;inverse_geometric_mean_rank;0.001843871435286124
160;tail;pessimistic;inverse_geometric_mean_rank;0.0012368371404489588
161;both;pessimistic;inverse_geometric_mean_rank;0.001510155181885229
162;head;optimistic;median_absolute_deviation;1089.7126306016173
163;tail;optimistic;median_absolute_deviation;1278.0031123518288
164;both;optimistic;median_absolute_deviation;1211.2860125190768
165;head;realistic;median_absolute_deviation;1089.7126306016173
166;tail;realistic;median_absolute_deviation;1278.0031123518288
167;both;realistic;median_absolute_deviation;1211.2860125190768
168;head;pessimistic;median_absolute_deviation;1089.7126306016173
169;tail;pessimistic;median_absolute_deviation;1278.0031123518288
170;both;pessimistic;median_absolute_deviation;1211.2860125190768
171;head;optimistic;hits_at_1;0.0071872882712035215
172;tail;optimistic;hits_at_1;0.004890828802266158
173;both;optimistic;hits_at_1;0.00603905853673484
174;head;realistic;hits_at_1;0.0071872882712035215
175;tail;realistic;hits_at_1;0.004890828802266158
176;both;realistic;hits_at_1;0.00603905853673484
177;head;pessimistic;hits_at_1;0.0071872882712035215
178;tail;pessimistic;hits_at_1;0.004890828802266158
179;both;pessimistic;hits_at_1;0.00603905853673484
180;head;optimistic;hits_at_3;0.017809902864360787
181;tail;optimistic;hits_at_3;0.0095909952913218
182;both;optimistic;hits_at_3;0.013700449077841294
183;head;realistic;hits_at_3;0.017809902864360787
184;tail;realistic;hits_at_3;0.0095909952913218
185;both;realistic;hits_at_3;0.013700449077841294
186;head;pessimistic;hits_at_3;0.017809902864360787
187;tail;pessimistic;hits_at_3;0.0095909952913218
188;both;pessimistic;hits_at_3;0.013700449077841294
189;head;optimistic;hits_at_5;0.02920197607868906
190;tail;optimistic;hits_at_5;0.013627248368305114
191;both;optimistic;hits_at_5;0.02141461222349709
192;head;realistic;hits_at_5;0.02920197607868906
193;tail;realistic;hits_at_5;0.013627248368305114
194;both;realistic;hits_at_5;0.02141461222349709
195;head;pessimistic;hits_at_5;0.02920197607868906
196;tail;pessimistic;hits_at_5;0.013627248368305114
197;both;pessimistic;hits_at_5;0.02141461222349709
198;head;optimistic;hits_at_10;0.05572446571993749
199;tail;optimistic;hits_at_10;0.022748397244929573
200;both;optimistic;hits_at_10;0.03923643148243353
201;head;realistic;hits_at_10;0.05572446571993749
202;tail;realistic;hits_at_10;0.022748397244929573
203;both;realistic;hits_at_10;0.03923643148243353
204;head;pessimistic;hits_at_10;0.05572446571993749
205;tail;pessimistic;hits_at_10;0.022748397244929573
206;both;pessimistic;hits_at_10;0.03923643148243353
207;head;optimistic;z_hits_at_k;4197.972085792478
208;tail;optimistic;z_hits_at_k;1700.3587801237309
209;both;optimistic;z_hits_at_k;4166.233147058249
210;head;realistic;z_hits_at_k;4197.972085792478
211;tail;realistic;z_hits_at_k;1700.3587801237309
212;both;realistic;z_hits_at_k;4166.233147058249
213;head;pessimistic;z_hits_at_k;4197.972085792478
214;tail;pessimistic;z_hits_at_k;1700.3587801237309
215;both;pessimistic;z_hits_at_k;4166.233147058249
216;head;optimistic;adjusted_hits_at_k;0.055627068813616336
217;tail;optimistic;adjusted_hits_at_k;0.022646565506309647
218;both;optimistic;adjusted_hits_at_k;0.039136825879004314
219;head;realistic;adjusted_hits_at_k;0.055627068813616336
220;tail;realistic;adjusted_hits_at_k;0.022646565506309647
221;both;realistic;adjusted_hits_at_k;0.039136825879004314
222;head;pessimistic;adjusted_hits_at_k;0.055627068813616336
223;tail;pessimistic;adjusted_hits_at_k;0.022646565506309647
224;both;pessimistic;adjusted_hits_at_k;0.039136825879004314
